dheivegam_Tamil_riddle_265_1	இவன் வாலுக்கு வையகமே நடுங்கும் அவன் யார்?	தேள்
dheivegam_Tamil_riddle_265_2	பிடுங்கலாம் நடமுடியாது அது என்ன?	தலைமுடி
dheivegam_Tamil_riddle_265_3	உடம்பில்லா ஒருவன் பத்து சட்டை அணீந்திருப்பான்? அவன் யார்?	வெங்காயம்
dheivegam_Tamil_riddle_265_4	கசக்கிப் பிழிந்தாலும் கடைசிவரை இனிப்பான். அவன் யார்?	கரும்பு
dheivegam_Tamil_riddle_265_5	மரத்தின் மேலே தொங்குவது மலைப் பாம்பல்ல அது என்ன?	விழுது
dheivegam_Tamil_riddle_265_6	இடி இடிக்கும், மின்னல் மின்னும், மழை பெய்யாது- அது என்ன?	பட்டாசு
dheivegam_Tamil_riddle_265_7	ஆலமரம் தூங்க அவனியெல்லாம் தூங்க, சீரங்கம் தூங்க திருப்பாற்கடல் தூங்க, ஒருவன் மட்டும் தூங்கவில்லை அவன் யார்?	மூச்சு
dheivegam_Tamil_riddle_265_8	கொதிக்கும் கிணற்றில் குதித்துக் குண்டாகி வருவான். அவன் யார்?	பூரி
dheivegam_Tamil_riddle_265_9	கருப்பு நிறமுடையவன், கபடம் அதிகம் கொண்டவன், கூவி அழைத்தால் வந்திடுவான், கூட்டம் சேர்த்தும் வந்திடுவான் – அவன் யார்?	காகம்
dheivegam_Tamil_riddle_265_10	பச்சை பொட்டிக்குள் வெள்ளை முத்துகள்?	வெண்டைக்காய்
dheivegam_Tamil_riddle_265_11	சிறு தூசி விழுந்ததும் குளமே கலங்கியது அது என்ன?	கண்
dheivegam_Tamil_riddle_265_12	ஓடெடுப்பான் பிச்சை ஒரு நாளும் கண்டறியான் காடுறைவான் தீர்த்தக் கரைசேர்வான்- தேட நடக்குங்கால் நாலுண்டு நல்தலை ஒன்றுண்டு! படுக்கும்போது அவையில்லை பார்! அது என்ன?	ஆமை
dheivegam_Tamil_riddle_265_13	வெள்ளை ஆடை உடுத்திய மஞ்சள் மகாராணி? அவள் யார்?	முட்டை
dheivegam_Tamil_riddle_265_14	எங்க அக்கா சிவப்பு, குளித்தால் கருப்பு அது என்ன ?	அடுப்புக்கரி
dheivegam_Tamil_riddle_265_15	உங்களுக்கு சொந்தமானத ஒன்று ஆனால் உங்களை விட மற்றவர்களே அதிகம் உபயோகிப்பார்கள்?	பெயர்
dheivegam_Tamil_riddle_265_16	யாரும் செய்யாத கதவு தானே திறக்கும் தானே மூடும். அது என்ன?	இமை
dheivegam_Tamil_riddle_265_17	வாயிலே தோன்றி வாயிலே மறையும் பூ. அது என்ன?	சிரிப்பு
dheivegam_Tamil_riddle_265_18	வீட்டில் வளரும் என்னை திருடனுக்கு பிடிக்காது அது என்ன?	நாய்
dheivegam_Tamil_riddle_265_19	இலையுண்டு கிளையில்லை,பூ உண்டு மணமில்லை,காய் உண்டு விதையில்லை,பட்டை உண்டு கட்டை இல்லை,கன்று உண்டு பசு இல்லை அது என்ன?	வாழை
dheivegam_Tamil_riddle_265_20	வெளியே உள்ளதை எறிந்து உள்ளே உள்ளதை சமைத்தான். பின் வெளியே உள்ளதை சாப்பிட்டு விட்டு உள்ளே உள்ளதை எறிந்தான் அது என்ன?	சோளம்
dheivegam_Tamil_riddle_265_21	கடைசி வார்த்தையில் மானம் உண்டு, முதல் வார்த்தையின் மென்மைக்காக இறந்தன பூச்சிகள். காஞ்சியில் நான் யார்?	பட்டுத்துணி
dheivegam_Tamil_riddle_265_22	படபடக்கும், பளபளக்கும், பண்டிகை வந்தால் வானில் பறக்கும். அது என்ன ?	பட்டாசு
dheivegam_Tamil_riddle_265_23	ஓர் அரண்மனையில் முப்பத்திரெண்டு காவலர்கள் அது என்ன?	பற்கள்
dheivegam_Tamil_riddle_265_24	உணவை எடுப்பான் ஆனால் உண்ணமாட்டான் அவன் யார்?	அகப்பை
dheivegam_Tamil_riddle_265_25	காலையில் வந்த விருந்தாளியை மாலையில் காணவில்லை. அது என்ன?	சூரியன்
dheivegam_Tamil_riddle_265_26	கந்தல் துணி கட்டியவன், முத்துப் பிள்ளைகளைப் பெற்று மகிழ்ந்தான். அது என்ன?	சோளக்கதிர்
dheivegam_Tamil_riddle_265_27	கடல் நீரில் வளர்ந்து , மழை நீரில் மடிவது என்ன ?	உப்பு
dheivegam_Tamil_riddle_265_28	ஓயாமல் இரையும் இயந்திரமல்ல, உருண்டோடிவரும் பந்து அல்ல அது என்ன?	கடல்
dheivegam_Tamil_riddle_265_29	காலையிலும் மாலையிலும் நெட்டை மதியம் குட்டை நான் யார்?	நிழல்
dheivegam_Tamil_riddle_265_30	இரு கொம்புகள் உண்டு மாடு அல்ல, வேகமாய் ஓடும் மான் அல்ல, கால்கள் உண்டு மனிதனல்ல. – அது என்ன?	சைக்கிள்
dheivegam_Tamil_riddle_265_31	இவனும் ஒரு பேப்பர் தான்; ஆனால், மதிப்போடு இருப்பான். அது என்ன?	பணம்
dheivegam_Tamil_riddle_265_32	கன்று நிற்க கயிறு மேயுது அது என்ன?	பூசனிக்கொடி
dheivegam_Tamil_riddle_265_33	எப்போதும் மழையில் நனைவான் ஆனால் ஜுரம் வராது. எப்போதும் வெயிலில் காய்வான் ஆனால் ஏதும் ஆகாது. அவன் யார்?	குடை
dheivegam_Tamil_riddle_265_34	தொடாமல் அழுவான், தொட்டால் பேசுவான். அவன் யார்?	தொலைபேசி
dheivegam_Tamil_riddle_265_35	பெட்டியைத் திறந்தால் பூட்ட முடியாது. அது என்ன?	தேங்காய்
dheivegam_Tamil_riddle_265_36	தன் மேனி முழுவதும் கண்ணுடையாள் தன்னிடம் சிக்கியபேரைச் சீரழிப்பாள் அவள் யார்?	மீன்
dheivegam_Tamil_riddle_265_37	வலை படபடக்கும்,பளபளக்கும் மனதுக்குள் இடம் பிடிக்கும் அது என்ன?	பட்டாசு
dheivegam_Tamil_riddle_265_38	உயிரில்லாதவனுக்கு உடம்பெல்லாம் நரம்பு, அது என்ன?	பாய்
dheivegam_Tamil_riddle_265_39	மாமா போட்ட பந்தல் மறுபடி பிரிச்சா கந்தல் அது என்ன?	சிலந்தி வலை
dheivegam_Tamil_riddle_265_40	கீழேயும் மேலேயும் மண்; நடுவிலே அழகான பெண். அது என்ன?	மஞ்சல்செடி.
dheivegam_Tamil_riddle_265_41	சொன்ன நேரத்துக்கு தொண்டை கிழிய கத்துவான். அவன் யார் ?	அலாரம்
dheivegam_Tamil_riddle_265_42	உயிர் இல்லாத நீதிபதியிடம் ஒழுங்கான நியாயம்- அது என்ன?	தராசு
dheivegam_Tamil_riddle_265_43	பூவோடு பிறந்து; நாவோடு கலந்து விருந்தாவான் மருந்தாவான். அவன் யார்?	தேன்
dheivegam_Tamil_riddle_265_44	நூல் நூற்கும் நெசவாளிக்கு கட்டிக்கொள்ள துணியில்லை அது என்ன?	சிலந்தி
dheivegam_Tamil_riddle_265_45	உடம்பெல்லாம் சிவப்பு, அதன் குடுமி பச்சை அது என்ன?	தக்காளி
dheivegam_Tamil_riddle_265_46	ஒட்டுத் திண்ணையில் பட்டுப் பாவாடை அது என்ன?	தோடு
dheivegam_Tamil_riddle_265_47	தலைக்குள் கண் வைத்திருப்பவன் இவன் மட்டும்தான் அவன் யார்?	நுங்கு
dheivegam_Tamil_riddle_265_48	செய்தி வரும் பின்னே, மணியோசை வரும் முன்னே. அது என்ன?	தொலைபேசி
dheivegam_Tamil_riddle_265_49	வாயிலிருந்து நூல் போடுவான்; மந்திரவாதியும் இல்லை, கிளைக்குக் கிளை தாவுவான்; குரங்கும் இல்லை, வலைவிரித்துப் பதுங்கியிருப்பான்; வேடனும் இல்லை – அவன் யார்?	சிலந்தி
dheivegam_Tamil_riddle_265_50	பா‌ர்‌க்க‌த்தா‌ன் கறுப்பு; ஆனா‌ல் உள்ளமோ சிவப்பு. நம‌க்கு‌த் தருவதோ சுறுசுறு‌ப்பு அது என்ன?	தேயிலை
dheivegam_Tamil_riddle_265_51	பல் துவக்ககாதவனுக்கு உடம்பு எல்லாம் பற்கள்?	சீப்பு
dheivegam_Tamil_riddle_265_52	கடலிலே கலந்து, கரையிலே பிரிந்து, தெருவிலே திரியும் பூ எது?	உப்பு 4
dheivegam_Tamil_riddle_265_53	. பற்கள் இருக்கும் கடிக்கமாட்டான் அவன் யார்?	சீப்பு
dheivegam_Tamil_riddle_265_54	வால் நீண்ட குருவிக்கு வாயுண்டு. வயிறில்லை. அது என்ன?	அகப்பை
dheivegam_Tamil_riddle_265_55	காதை திருகினால் பாட்டு பாடுவான்? அவன் யார்?	ரேடியோ
dheivegam_Tamil_riddle_265_56	நடுவழிய ஓய்வுக்காம், கடையிரண்டில் ஏதுமில்லை சொல், மூன்றெழுத்தில் உடுத்தலாம், மொத்தத்தில் பெண்கள் விருப்பம், அது என்ன?	பட்டு
dheivegam_Tamil_riddle_265_57	நாளெல்லாம் நடந்தாலும் நாற்பதடி செல்லாது அந்த நாயகனுக்கோ உடல் மேல் கவசம் அது என்ன?	நத்தை
dheivegam_Tamil_riddle_265_58	நீளவால் குதிரையின் வால் ஓடஓடக் குறையும் அது என்ன?	தையல் ஊசியும் நூலும்
dheivegam_Tamil_riddle_265_59	வீட்டுக்கு வந்த தொந்தியப்பன் தினமும் கரைகிறான். அவன் யார்?	நாட்காட்டி
dheivegam_Tamil_riddle_265_60	முறையின்றித் தொட்டால்,ஒட்டிக் கொண்டு உயிரை எடுப்பான் அவன் யார்?	மின்சாரம்
dheivegam_Tamil_riddle_265_61	வீட்டுக்கு வந்த விருந்தாளியை வரவேற்க ஆளில்லை. அது என்ன?	செருப்பு
dheivegam_Tamil_riddle_265_62	மரத்துக்கு மரம் தாவுவான் குரங்கல்ல, பட்டை போட்டிருப்பான் சாமி அல்ல, அவன் யார்?	அணில்
dheivegam_Tamil_riddle_265_63	நீரிலும் வாழ்வேன், நிலத்திலும் வாழ்வேன். நீண்ட ஆயுள் உடைய எனக்கு இறைவன் கொடுத்த கவசமும் இருக்கு. நான் யார்?	ஆமை
dheivegam_Tamil_riddle_265_64	தாய் குப்பையிலே, மகள் சந்தையிலே அவை என்ன?	நெல்
dheivegam_Tamil_riddle_265_65	பூ பூக்கும். காய் காய்க்கும். ஆனால் பழம் பழக்காது. அது என்ன?	தேங்காய்
dheivegam_Tamil_riddle_265_66	கையை வெட்டுவார்; கழுத்தை வெட்டுவார். ஆனாலும் நல்லவர். யார் அவர்?	தையல்காரர்
dheivegam_Tamil_riddle_265_67	வயதான பலருக்கு புதிதாக ஒரு கை அது என்ன?	வழுக்கை / பொக்கை
dheivegam_Tamil_riddle_265_68	இளமையில் பச்சை, முதுமையில் சிகப்பு, குணத்திலே எரிப்பு. விடை தெரியுமா?	மிளகாய்
dheivegam_Tamil_riddle_265_69	எவ்வளவு முயன்றாலும் அவனை கடிக்க முடியாது. அவன் இல்லாமல் உணவே இல்லை. அவன் யார்?	தண்ணீர்
dheivegam_Tamil_riddle_265_70	கண்ணால் பார்க்கலாம் கையால் பிடிக்கமுடியாது அது என்ன?	நிழல்
dheivegam_Tamil_riddle_265_71	நான்கு கால்கள் உள்ளவன், இரண்டு கைகள் உள்ளவன், உட்கார்ந்து கொண்டிருப்பான், உட்கார இடம் கொடுப்பான் அவன் யார்?	நாற்காலி
dheivegam_Tamil_riddle_265_72	சட்டையைக் கழற்றினால் சத்துணவு அது என்ன?	வாழைப்பழம்
dheivegam_Tamil_riddle_265_73	ஒரு குகை, 32 வீரர்கள் , ஒரு நாகம் அது என்ன?	வாய்
dheivegam_Tamil_riddle_265_74	கையில்லாமல் நீந்துவான்; கால் இல்லாமல் ஓடுவான். அவன் யார்?	படகு
dheivegam_Tamil_riddle_265_75	முட்டையிடும், குஞ்சு பொரிக்காது. கூட்டில் குடியிருக்கும், கூடு கட்டத் தெரியாது. குரலில் இனிமையுண்டு, சங்கீதம் தெரியாது! – அது என்ன?	குயில்
dheivegam_Tamil_riddle_265_76	அழகான பெண்ணுக்கு அதிசயமான வியாதி, பாதிநாள் குறைவாள், பாதிநாள் வளர்வாள் அது என்ன?	நிலா
dheivegam_Tamil_riddle_265_77	பார்க்க அழகு பாம்புக்கு எதிரி அது என்ன?	மயில்
dheivegam_Tamil_riddle_265_78	அக்கா விதைத்த முத்து, அள்ள முடியாத முத்து, அது என்ன?	கோலம்
dheivegam_Tamil_riddle_265_79	ஆயிரம் பேர் அணி வகுத்தாலும் ஆரவாரம் இராது- அவர்கள் யார்?	எறும்புக் கூட்டம்
dheivegam_Tamil_riddle_265_80	எவர் கையிலும் சிக்காத கல் எங்கும் விற்காத கல், அது என்ன?	விக்கல்
dheivegam_Tamil_riddle_265_81	குண்டுச்சட்டியில குதிரை ஓட்டறான்.	கரன்டி
dheivegam_Tamil_riddle_265_82	அடிக்காமல்,திட்டாமல் கண்ணீரை வரவழைப்பாள் அவள் யார்?	வெங்காயம்
dheivegam_Tamil_riddle_265_83	பாலிலே புழு நெளியுது. அது என்ன?	பாயாசம்
dheivegam_Tamil_riddle_265_84	வளைந்து நெளிந்து செல்பவள் வழியெங்கும் தாகம் தீர்ப்பாள் அவள் யார்?	ஆறு
dheivegam_Tamil_riddle_265_85	மேலிலும் துவாரம், கீழிழும் துவாரம், வலதிலும் துவாரம், இடதிலும் துவாரம், உள்ளிலும் துவாரம் வெளியிலும் துவாரம் இருந்தும் நீரை என்னுள் சேமித்து வைப்பேன், நான் யார்?	பஞ்சு
dheivegam_Tamil_riddle_265_86	ஆழக் குழி தோண்டி அதிலே ஒரு முட்டையிட்டு அண்ணாந்து பார்த்தால் தொண்ணூறு முட்டை அது என்ன?	தென்னை
dheivegam_Tamil_riddle_265_87	சங்கீதம் பாடுபவனுக்கு சாப்பாடு இரத்தம் அது என்ன?	கொசு
dheivegam_Tamil_riddle_265_88	மழையில் பிறந்து வெயிலில் காயுது?	காளான்
dheivegam_Tamil_riddle_265_89	அடித்தாலும், உதைத்தாலும் அவன் அழ மாட்டான், அவன் யார்?	பந்து
dheivegam_Tamil_riddle_265_90	வட்ட வட்ட நிலவில் வரைஞ்சிருக்கு; எழுதியிருக்கு. அது என்ன?	நாணயம்
dheivegam_Tamil_riddle_265_91	ஓடையில கருப்பு மீனு துள்ளி விளையாடுது அது என்ன ?	கண்
dheivegam_Tamil_riddle_265_92	பூ பூப்பது கண்ணுக்குத் தெரியும். காய் காய்ப்பது கண்ணுக்குத் தெரியாது. அது என்ன?	வேர்கடலை
dheivegam_Tamil_riddle_265_93	பட்டுப்பை நிறைய பவுண் காசு. அது என்ன?	வத்தல் மிளகாய்
dheivegam_Tamil_riddle_265_94	இருந்த இடத்தில் நகர்ந்தபடி இரவும் பகலும் செல்வான். அவன் யார்?	கடிகாரம்
dheivegam_Tamil_riddle_265_95	உடம்பெல்லாம் பல் கொண்ட ஒருத்திக்கு கடிக்க தெரியாது?	சீப்பு
dheivegam_Tamil_riddle_265_96	காலில் தண்ணீர் குடிப்பான், தலையில் முட்டையிடுவான் அவன் யார்?	தென்னை
dheivegam_Tamil_riddle_265_97	சலசலவென சத்தம் போடுவான், சமயத்தில் தாகம் தீர்ப்பான். அவன் யார்?	அருவி
dheivegam_Tamil_riddle_265_98	கல்லில் காய்க்கும்பூ தண்ணீரில் மலரும்பூ, அது என்ன பூ?	சுண்ணாம்பு
dheivegam_Tamil_riddle_265_99	காற்றைக் குடித்து காற்றில் பறப்பான், அவன் யார்?	பலூன்
dheivegam_Tamil_riddle_265_100	நடந்தவன் நின்றான் கத்தியை எடுத்து தலையைச் சீவினேன் மறுபடியும் நடந்தான் அவன் யார்?	பென்சில்
dheivegam_Tamil_riddle_265_101	எத்தனை தரம் சுற்றினாலும் தலை சுற்றாது, அது என்ன?	மின் விசிறி
dheivegam_Tamil_riddle_265_102	வெள்ளை ராஜாவுக்கு கறுப்பு உடை அது என்ன?	உழுந்து
dheivegam_Tamil_riddle_265_103	முத்துக் கோட்டையிலே மகாராணி சிறைபட்டிருக்கிறாள். அவள் யார்?	நாக்கு
dheivegam_Tamil_riddle_265_104	கூரை வீட்டைப் பிரிச்சா ஓட்டுவீடு! ஓட்டு வீட்டுக்குள்ள வெள்ளை மாளிகை!வெள்ளை மாளிகைக்கு நடுவில் குளம்!அது என்ன?	தேங்காய்
dheivegam_Tamil_riddle_265_105	பேச்சுக் கேட்குது பேசுபவர் தெரியவில்லை. அது என்ன?	வானொலி பெட்டி
dheivegam_Tamil_riddle_265_106	கந்தல் துணிக்காரி முத்துப் பிள்ளைகள் பெற்றாள் அவள் யார்?	சோளப்பொத்தி
dheivegam_Tamil_riddle_265_107	வடிவழகு மாப்பிள்ளை வயிற்றால் நடக்கிறார். அவர் யார்?	பாம்பு
dheivegam_Tamil_riddle_265_108	உடல் சிவப்பு, வாய் அகலம், உணவு காகிதம்- நான் யார்?	அஞ்சல் பெட்டி.
dheivegam_Tamil_riddle_265_109	இது ஒரு பூ. முதற்பகுதி ஆதவனின் மறுபெயர்; பிற்பகுதி தேசத் தந்தையை குறிக்கும். அது என்ன?	சூரிய காந்தி
dheivegam_Tamil_riddle_265_110	பச்சை நிற அழகிக்கு உதட்டுச் சாயம் பூசாமலே சிவந்தவாய் அவள் யார்?	கிளி
dheivegam_Tamil_riddle_265_111	இரவு வீட்டிற்கு வருவான், இரவு முழுவதும் இருப்பான் காலையில் சொல்லாமல் கொள்ளாமல் போய்விட்டிருப்பான்?	நிலா
dheivegam_Tamil_riddle_265_112	ஓடையில் ஓடாத நீர், ஒருவரும் குடிக்காத நீர். அது என்ன?	கண்ணீர்
dheivegam_Tamil_riddle_265_113	அம்மா படுத்திருக்க மகள் ஓடித்திரிவாள் அது என்ன?	அம்மி குளவி
dheivegam_Tamil_riddle_265_114	ஒரு வீட்டுக்கு இரண்டு வாசல்படி. அது என்ன?	மூக்கு
dheivegam_Tamil_riddle_265_115	ஊரெல்லாமல் ஒரே விளக்கு. அதற்கு ஒரு நாள் ஒய்வு அது?	சந்திரன்
dheivegam_Tamil_riddle_265_116	உடம்பெல்லாம் தங்கநிறம், தலையில் பச்சை கிரீடம் அது என்ன?	அன்னாசிப் பழம்
dheivegam_Tamil_riddle_265_117	குண்டுச் சட்டியில் கெண்டை மீன். அது என்ன?	நாக்கு.
dheivegam_Tamil_riddle_265_118	கண்ணீர் விட்டு வெளிச்சம் தருவாள் அவள் யார்?	மெழுகுத்திரிவத்தி
dheivegam_Tamil_riddle_265_119	நன்றிக்கு வால் கோபத்துக்கு வாய் அது என்ன?	நாய்
dheivegam_Tamil_riddle_265_120	பூ கொட்ட கொட்ட ஒன்றையும் தனியே பொறுக்க முடியவில்லை?	மழை
dheivegam_Tamil_riddle_265_121	நீண்ட உடம்புக்காரன், நெடுந்தூரப் பயணக்காரன்?	ரயில்
dheivegam_Tamil_riddle_265_122	எடுக்க எடுக்க வளரும். எண்ணெயைக் கண்டால் படிந்துவிடும். அது என்ன?	முடி
dheivegam_Tamil_riddle_265_123	அரிவாளால் வெட்டி வெட்டி அடுப்பிலே வெச்சாலும் மூச்சே விட மாட்டான். அவன் யார்?	விறகு
dheivegam_Tamil_riddle_265_124	தண்ணியில்லாத காட்டிலே அலைந்து தவிக்கும் அழகி. அவள் யார்?	ஒட்டகம்
dheivegam_Tamil_riddle_265_125	ஆகாரமாக எதையும் தந்தால் சாப்பிடுவேன், ஆனால் நீரை குடிக்க தந்தால் இறந்து விடுவேன், நான் யார்?	நெருப்பு
dheivegam_Tamil_riddle_265_126	ஒன்று போனால் மற்றொன்றும் வாழாது. அது என்ன?	செருப்பு
dheivegam_Tamil_riddle_265_127	ஊரெல்லாம் சுத்துவான், ஆனால் வீட்டிற்குள் வரமாட்டான். அவன் யார்?	செருப்பு
